text1,text2,score
I love listening to music,I am learning something new,0.55
The bed is comfortable,It is sunny today,0.37
It is humid today,It is cloudy today,0.7
I am scared,The food tastes great,0.05
The food tastes great,I am cleaning my room,0.49
I am feeling great,I love listening to music,0.16
It is windy today,It is windy today,0.82
I am playing football,I am cooking dinner,0.71
The weather is cold,The weather is hot,0.79
I am a bit upset,The bed is comfortable,0.47
The movie was boring,The computer is running,0.65
The weather is cold,The weather is cold,0.98
The weather is hot,It is sunny today,0.86
I am a bit upset,The weather is hot,0.2
I am a bit upset,I am studying for exams,0.12
I am scared,I am sad,0.51
I am sad,I feel nervous,0.76
The bed is comfortable,The food tastes great,0.58
I am playing football,I am learning something new,0.11
I love listening to music,The movie was boring,0.9
The food tastes great,The computer is running,0.74
I am tired,It is sunny today,0.03
It is cloudy today,It is sunny today,0.84
The computer is running,The movie was boring,1.0
The weather is cold,The food tastes great,0.43
I love listening to music,I love listening to music,0.72
I am watching a movie,I am scared,0.27
The food tastes great,The bed is comfortable,0.73
I am cooking dinner,It is windy today,0.38
I am playing football,I am reading a book,0.92
I am sad,I am happy,0.79
The weather is cold,I am happy,0.13
I am a bit upset,I am studying for exams,0.06
I am playing football,I feel excited,0.33
I am a bit upset,The bed is comfortable,0.35
The movie was boring,I am learning something new,0.75
I love listening to music,I am learning something new,0.9
I am tired,It might snow today,0.25
The weather is cold,I am a bit upset,0.0
I am reading a book,I am learning something new,0.41
The weather is hot,The weather is cold,0.65
The weather is cold,It is raining today,1.0
The movie was boring,It is sunny today,0.33
I am studying for exams,I am watching a movie,0.68
The food tastes great,The bed is comfortable,0.94
I am watching a movie,I am reading a book,0.99
The weather is cold,I am watching a movie,0.05
It is cloudy today,It is windy today,0.55
It is sunny today,I love listening to music,0.36
I am a bit upset,It is raining today,0.22
I am learning something new,I am a bit upset,0.24
It might snow today,The weather is hot,0.67
I am a bit upset,The computer is running,0.04
I feel excited,I am watching a movie,0.12
I am coding a project,I am reading a book,0.72
It is cloudy today,I am feeling great,0.46
It is sunny today,I feel nervous,0.13
It is cloudy today,The weather is hot,0.9
It is windy today,I am sad,0.34
I love listening to music,I love listening to music,0.66
I love listening to music,The computer is running,0.96
I am tired,It is cloudy today,0.03
I am coding a project,I am learning something new,0.04
The movie was boring,I am learning something new,0.53
It is raining today,It is windy today,0.8
I feel nervous,I am scared,0.66
It is sunny today,I am cooking dinner,0.23
It is humid today,The food tastes great,0.0
The computer is running,I am happy,0.45
I am tired,I am coding a project,0.39
I am coding a project,I love listening to music,0.13
The weather is hot,It is humid today,0.98
It is cloudy today,It is windy today,0.98
It is raining today,It is sunny today,0.59
I love listening to music,The weather is hot,0.05
I am cleaning my room,It might snow today,0.18
I am a bit upset,It is raining today,0.47
The weather is hot,I am playing football,0.25
I am scared,I am learning something new,0.3
I am a bit upset,I am a bit upset,0.95
The movie was boring,It is sunny today,0.22
It is humid today,The movie was boring,0.44
The computer is running,The bed is comfortable,0.72
The weather is cold,It is sunny today,0.57
I am reading a book,I am cooking dinner,0.89
I feel nervous,I feel excited,0.55
I am studying for exams,I am playing football,0.59
I feel excited,I am playing football,0.03
The movie was boring,I am sad,0.46
I am learning something new,I am tired,0.14
I am learning something new,The movie was boring,0.99
It is sunny today,It is sunny today,0.95
It is cloudy today,I am sad,0.41
I am coding a project,I am cleaning my room,0.62
The computer is running,The bed is comfortable,0.97
I am playing football,The food tastes great,0.5
I am going to the gym,I am cleaning my room,0.51
It might snow today,The food tastes great,0.05
It is raining today,The weather is hot,0.62
It is humid today,I am feeling great,0.12
It might snow today,I love listening to music,0.12
The food tastes great,I am sad,0.31
It might snow today,I am tired,0.24
It is raining today,It is raining today,0.79
I feel nervous,I am tired,0.56
The computer is running,I am cooking dinner,0.01
I am a bit upset,I am watching a movie,0.23
It is cloudy today,I love listening to music,0.33
I am playing football,I am studying for exams,0.91
It is humid today,I am feeling great,0.31
The bed is comfortable,I am studying for exams,0.41
It is sunny today,I am cleaning my room,0.35
The weather is hot,The weather is hot,0.89
The weather is cold,It might snow today,0.69
The food tastes great,The computer is running,0.72
I am feeling great,It is windy today,0.02
It is humid today,I am reading a book,0.49
I feel nervous,I am reading a book,0.43
It might snow today,I am playing football,0.29
The computer is running,The movie was boring,0.58
I am tired,I am a bit upset,0.51
It might snow today,It is cloudy today,0.79
I am going to the gym,I love listening to music,0.4
I am reading a book,I am cleaning my room,0.57
I am cooking dinner,I am studying for exams,1.0
I am a bit upset,I am a bit upset,0.64
The weather is cold,The bed is comfortable,0.17
It is sunny today,It might snow today,0.94
The weather is hot,The weather is hot,0.92
I am a bit upset,I am sad,0.51
I am studying for exams,I am reading a book,0.79
I am studying for exams,The food tastes great,0.35
I am reading a book,I am cooking dinner,0.69
It is humid today,The food tastes great,0.33
I am feeling great,I am studying for exams,0.14
The computer is running,The computer is running,0.74
The computer is running,I am scared,0.01
The computer is running,I love listening to music,0.57
I am feeling great,I am going to the gym,0.43
I am scared,I am studying for exams,0.3
It is sunny today,It is windy today,0.68
It is raining today,It is sunny today,0.77
It is raining today,I am happy,0.47
I am coding a project,I am watching a movie,0.63
I feel excited,The bed is comfortable,0.36
I feel nervous,I feel excited,0.76
It is sunny today,It is windy today,0.54
I am going to the gym,I am going to the gym,0.76
It is windy today,I am feeling great,0.32
The food tastes great,The movie was boring,0.75
I am scared,I am tired,0.7
It is humid today,The weather is hot,0.61
The computer is running,I am cooking dinner,0.25
I am cooking dinner,The movie was boring,0.34
I am scared,The bed is comfortable,0.19
I am tired,It is humid today,0.01
I am cooking dinner,It is sunny today,0.25
I am tired,I am scared,0.59
I am going to the gym,I am going to the gym,0.92
I am cooking dinner,The food tastes great,0.0
I feel excited,It is windy today,0.41
It is sunny today,I love listening to music,0.16
It is sunny today,It is humid today,0.95
The weather is hot,I am feeling great,0.17
I am learning something new,I am learning something new,0.71
I am tired,I am sad,0.66
I am scared,It is humid today,0.4
I am happy,I am a bit upset,0.8
It is cloudy today,The bed is comfortable,0.24
I am happy,I feel excited,0.64
I am sad,I am tired,0.52
It is cloudy today,I am reading a book,0.1
It is windy today,It might snow today,0.53
I feel nervous,I am happy,0.64
I am scared,I feel nervous,0.96
I am cleaning my room,It is windy today,0.42
It might snow today,It is windy today,0.56
I feel nervous,The food tastes great,0.28
I am scared,I am learning something new,0.19
I am going to the gym,I am cleaning my room,0.54
I am going to the gym,It is cloudy today,0.45
I love listening to music,I am happy,0.44
I am reading a book,The bed is comfortable,0.31
I am happy,I am cleaning my room,0.23
I am reading a book,I am studying for exams,0.6
I am studying for exams,I am cleaning my room,0.55
I am reading a book,I am cleaning my room,0.6
The weather is hot,I am tired,0.26
I feel nervous,I am feeling great,0.51
I am scared,I am sad,0.9
I am coding a project,I am cooking dinner,0.96
It is windy today,The weather is hot,0.82
The movie was boring,I am a bit upset,0.16
It is humid today,I am watching a movie,0.26
It is raining today,It is sunny today,0.98
The weather is cold,It might snow today,0.58
The computer is running,It is humid today,0.14
I am tired,I feel excited,0.64
I am cooking dinner,I am playing football,0.79
The weather is hot,It is raining today,0.98
The computer is running,I am learning something new,0.69
I am watching a movie,I am sad,0.09
I am playing football,I am going to the gym,0.71
I love listening to music,I am coding a project,0.32
I am happy,I feel excited,0.6
I am reading a book,It is sunny today,0.38
I am going to the gym,I am coding a project,0.76
The movie was boring,I am learning something new,0.54
It might snow today,I am learning something new,0.29
I am learning something new,The food tastes great,0.99
I am a bit upset,I feel nervous,0.6
I am playing football,I am scared,0.4
It is windy today,The computer is running,0.48
I love listening to music,It is raining today,0.3
I am a bit upset,I feel excited,0.88
I feel excited,I am tired,0.74
I am coding a project,I am learning something new,0.18
I am scared,I feel nervous,0.81
I love listening to music,The weather is hot,0.04
I feel nervous,I am feeling great,0.9
I am reading a book,I am going to the gym,0.86
It is raining today,It is sunny today,0.72
I am coding a project,I am going to the gym,0.87
It is windy today,I am happy,0.08
The computer is running,I am happy,0.27
I am watching a movie,I am cooking dinner,0.62
The computer is running,I am a bit upset,0.29
I am cleaning my room,I love listening to music,0.13
I am cleaning my room,I am sad,0.07
It is sunny today,It is sunny today,0.76
I am reading a book,I am coding a project,0.63
I am studying for exams,The bed is comfortable,0.43
The computer is running,It is windy today,0.12
I am watching a movie,The bed is comfortable,0.22
I am playing football,I am cleaning my room,0.96
The food tastes great,The food tastes great,0.5
I feel nervous,I am scared,0.72
I am tired,I am happy,0.88
The food tastes great,The computer is running,0.58
It is humid today,It is humid today,0.72
The food tastes great,The bed is comfortable,0.82
I am a bit upset,I feel excited,0.79
It is cloudy today,I am cooking dinner,0.2
I am playing football,I am watching a movie,0.96
I am sad,I love listening to music,0.11
I am playing football,I am reading a book,0.96
The food tastes great,The movie was boring,0.95
I am reading a book,I am a bit upset,0.18
I am sad,I love listening to music,0.25
I am feeling great,I am scared,0.56
The movie was boring,The computer is running,0.76
I am scared,I feel nervous,0.73
I am playing football,I am cooking dinner,0.83
I am sad,I am scared,0.69
The bed is comfortable,I am coding a project,0.38
It is cloudy today,The bed is comfortable,0.21
The computer is running,The computer is running,0.87
The computer is running,It is sunny today,0.14
The computer is running,The movie was boring,0.65
It is cloudy today,It might snow today,0.53
I am scared,The computer is running,0.17
It is sunny today,I am learning something new,0.25
The computer is running,The weather is cold,0.11
I feel nervous,It is cloudy today,0.19
I am studying for exams,I am feeling great,0.19
I am coding a project,I am going to the gym,0.57
I am happy,I feel excited,0.95
I am watching a movie,I am coding a project,0.96
I am reading a book,I am coding a project,0.75
I am cleaning my room,The food tastes great,0.43
It is windy today,It might snow today,0.7
I am a bit upset,The bed is comfortable,0.04
The food tastes great,I am learning something new,0.75
I am cleaning my room,I am a bit upset,0.09
I am happy,The movie was boring,0.39
I am playing football,The food tastes great,0.19
I am going to the gym,I am studying for exams,0.79
I am coding a project,I am going to the gym,1.0
I am studying for exams,I am cleaning my room,0.87
The computer is running,I am scared,0.43
I am tired,I am tired,0.71
I am studying for exams,The food tastes great,0.18
I am going to the gym,I am cooking dinner,0.54
I am coding a project,It is windy today,0.07
I am a bit upset,I am cooking dinner,0.14
I am happy,The bed is comfortable,0.49
I am coding a project,I am cleaning my room,0.84
I am cooking dinner,I am cleaning my room,0.69
I am playing football,I am playing football,0.73
I am tired,I feel nervous,0.51
The computer is running,I am watching a movie,0.02
I am going to the gym,I am cleaning my room,0.57
I am happy,I am a bit upset,0.6
The computer is running,I love listening to music,0.51
I am scared,I am happy,0.76
I feel nervous,I am happy,0.6
I am learning something new,It is raining today,0.1
I am a bit upset,I am scared,0.91
It is windy today,The weather is cold,0.79
I am learning something new,I am watching a movie,0.45
I love listening to music,The food tastes great,0.63
The movie was boring,The movie was boring,0.93
The computer is running,The weather is hot,0.08
The bed is comfortable,I feel nervous,0.29
The movie was boring,I am watching a movie,0.21
I am playing football,I am coding a project,0.56
I am studying for exams,It is windy today,0.07
I am going to the gym,It is humid today,0.03
The movie was boring,It is sunny today,0.12
The bed is comfortable,I am reading a book,0.18
It is windy today,I am going to the gym,0.19
The food tastes great,The bed is comfortable,0.74
It is cloudy today,I am cooking dinner,0.31
The computer is running,The bed is comfortable,0.68
It might snow today,It is sunny today,0.85
The movie was boring,I love listening to music,0.64
I feel excited,It is windy today,0.01
The weather is cold,The weather is cold,0.93
I am studying for exams,It is raining today,0.17
I am watching a movie,I am cooking dinner,0.72
The bed is comfortable,The weather is hot,0.23
The computer is running,I love listening to music,0.63
I am cooking dinner,I am going to the gym,0.79
It is sunny today,I am sad,0.31
It is windy today,I am going to the gym,0.1
I am coding a project,I am reading a book,0.64
I am feeling great,I am feeling great,0.62
I am coding a project,I am cleaning my room,0.99
The weather is hot,It is humid today,0.99
It is humid today,I am sad,0.12
I am happy,I am scared,0.55
It is humid today,I am a bit upset,0.19
The food tastes great,I am happy,0.25
I am watching a movie,The movie was boring,0.26
I am going to the gym,I am going to the gym,0.91
I am coding a project,I am cooking dinner,0.96
It is windy today,It is raining today,0.95
It is cloudy today,I am coding a project,0.21
I am tired,I am feeling great,0.87
I am reading a book,I am studying for exams,0.91
I am happy,I love listening to music,0.3
It is humid today,It is windy today,0.95
I love listening to music,The movie was boring,0.85
It is windy today,It is windy today,0.69
The movie was boring,I love listening to music,0.8
I am happy,The weather is hot,0.41
The weather is cold,It is cloudy today,0.58
The food tastes great,The computer is running,0.84
The weather is cold,It might snow today,0.85
It is windy today,The movie was boring,0.43
I am watching a movie,I am reading a book,0.75
The computer is running,I am cleaning my room,0.07
The movie was boring,The movie was boring,0.51
I am playing football,I am reading a book,0.66
I am cleaning my room,It is cloudy today,0.19
I am watching a movie,I am feeling great,0.32
It is humid today,I am reading a book,0.45
It is raining today,I am watching a movie,0.21
I am studying for exams,I am feeling great,0.17
I am going to the gym,I am sad,0.46
I am sad,I am tired,0.51
It is raining today,The weather is cold,0.56
The bed is comfortable,I am studying for exams,0.49
The computer is running,The bed is comfortable,0.71
I feel excited,I am coding a project,0.34
The weather is cold,It might snow today,0.93
The computer is running,I love listening to music,0.66
I am happy,I am going to the gym,0.39
I feel excited,I am tired,0.7
The weather is cold,It is humid today,0.59
It is windy today,I am watching a movie,0.03
It is sunny today,It is sunny today,0.94
The food tastes great,It might snow today,0.41
I am learning something new,It is windy today,0.04
The food tastes great,I am feeling great,0.01
The movie was boring,The computer is running,0.81
I am sad,It is sunny today,0.48
I am a bit upset,I am sad,0.53
It is windy today,The computer is running,0.47
I am coding a project,It is windy today,0.01
I feel nervous,The bed is comfortable,0.38
I feel excited,I am tired,0.91
I am sad,I am cleaning my room,0.42
I feel excited,I am feeling great,0.78
The bed is comfortable,The movie was boring,0.78
It is raining today,It might snow today,0.98
I am tired,I am feeling great,0.82
It is humid today,It is cloudy today,0.57
I feel excited,It is cloudy today,0.15
I am going to the gym,I am playing football,0.98
I am feeling great,I am scared,0.81
The weather is cold,It is raining today,0.8
I am feeling great,I am playing football,0.24
The bed is comfortable,I am learning something new,0.86
It is humid today,I love listening to music,0.35
I am playing football,I am scared,0.19
The weather is hot,It is cloudy today,0.7
The movie was boring,The weather is hot,0.22
I am happy,I am a bit upset,0.98
It is cloudy today,It is cloudy today,0.95
I am happy,It is cloudy today,0.32
It is windy today,The bed is comfortable,0.34
I am playing football,I am happy,0.16
I am learning something new,I am scared,0.5
I am watching a movie,The weather is cold,0.27
I am a bit upset,I am tired,0.83
It might snow today,The weather is hot,0.92
I am studying for exams,I am going to the gym,0.59
I am tired,It is sunny today,0.44
The movie was boring,The food tastes great,0.83
The movie was boring,The bed is comfortable,0.74
The computer is running,I love listening to music,0.66
I am watching a movie,I am cooking dinner,0.86
The computer is running,I am cooking dinner,0.03
I am scared,The weather is hot,0.47
The weather is hot,It might snow today,0.96
The movie was boring,I am tired,0.21
It is raining today,I am cooking dinner,0.14
I am cleaning my room,I am reading a book,0.97
I love listening to music,The food tastes great,0.6
I am playing football,I am cooking dinner,0.94
I am a bit upset,The bed is comfortable,0.38
I love listening to music,The food tastes great,0.59
It is cloudy today,It is humid today,0.74
I am learning something new,The movie was boring,0.69
I am learning something new,I am watching a movie,0.23
I am feeling great,I am sad,0.86
The bed is comfortable,The computer is running,0.72
I am coding a project,I am playing football,0.91
It is sunny today,I am watching a movie,0.35
The movie was boring,The bed is comfortable,0.55
It is raining today,I am going to the gym,0.42
I am feeling great,It is humid today,0.18
I love listening to music,It might snow today,0.3
It is raining today,I am learning something new,0.09
It is windy today,It is cloudy today,0.73
The food tastes great,I am watching a movie,0.21
It is raining today,I am a bit upset,0.13
The movie was boring,The computer is running,0.88
The bed is comfortable,The bed is comfortable,0.86
The weather is hot,The weather is cold,0.89
I am reading a book,I am watching a movie,0.86
I am feeling great,I am sad,0.74
I am going to the gym,I am sad,0.37
It is raining today,It is humid today,0.94
The weather is hot,It is humid today,0.54
The food tastes great,The movie was boring,0.66
I am cleaning my room,I am studying for exams,0.78
The weather is cold,The food tastes great,0.33
I am studying for exams,I am studying for exams,0.93
The food tastes great,The bed is comfortable,0.93
I am watching a movie,The bed is comfortable,0.19
I feel excited,I feel excited,0.77
I am cleaning my room,I am happy,0.11
It is raining today,I am playing football,0.13
I am reading a book,I love listening to music,0.17
I am feeling great,I am happy,0.58
I am learning something new,I love listening to music,0.77
I am watching a movie,I am learning something new,0.16
I love listening to music,I am learning something new,0.85
The computer is running,I love listening to music,0.87
I am a bit upset,I am reading a book,0.43
The movie was boring,I feel excited,0.08
I am feeling great,I am happy,0.78
It is cloudy today,It might snow today,0.91
It is windy today,I am scared,0.42
I am watching a movie,I am coding a project,0.65
It is sunny today,The movie was boring,0.28
It is sunny today,It is windy today,0.78
I am happy,It is sunny today,0.14
It is sunny today,The bed is comfortable,0.42
I am studying for exams,I am coding a project,0.53
It is windy today,I am cleaning my room,0.35
The weather is hot,It is raining today,0.58
I am happy,It is raining today,0.36
I am tired,I am happy,0.62
I am a bit upset,I am going to the gym,0.24
The weather is cold,I am learning something new,0.42
I feel nervous,I am playing football,0.44
I am studying for exams,The computer is running,0.15
The movie was boring,I am watching a movie,0.17
I am learning something new,It is humid today,0.24
It is raining today,It is windy today,0.98
I am sad,I am coding a project,0.26
I am cooking dinner,The movie was boring,0.0
I am cleaning my room,I am scared,0.39
I am playing football,The weather is hot,0.02
The computer is running,The food tastes great,0.62
I am learning something new,I am sad,0.03
The bed is comfortable,I am learning something new,0.71
It is humid today,I am scared,0.47
I am studying for exams,I love listening to music,0.08
I am a bit upset,I am tired,0.91
I am scared,It might snow today,0.05
I am cooking dinner,The weather is cold,0.0
It is sunny today,It is humid today,0.55
The movie was boring,I am sad,0.23
It might snow today,It is windy today,0.59
I am a bit upset,I am a bit upset,1.0
The weather is hot,The food tastes great,0.25
I am going to the gym,I am cleaning my room,0.86
I am happy,It is sunny today,0.38
I am coding a project,I love listening to music,0.37
I am playing football,The computer is running,0.22
I am studying for exams,I am watching a movie,0.76
I am playing football,I am cooking dinner,0.6
The food tastes great,I love listening to music,0.82
I am watching a movie,I am learning something new,0.07
The food tastes great,I love listening to music,0.73
I feel excited,I am sad,0.88
I am feeling great,The food tastes great,0.19
I am cleaning my room,I am going to the gym,0.8
I feel excited,It is windy today,0.09
I am happy,It might snow today,0.03
The bed is comfortable,The movie was boring,0.52
I am scared,I feel nervous,0.68
I am coding a project,I am cleaning my room,0.7
The movie was boring,The computer is running,0.65
I am playing football,I feel nervous,0.43
I am watching a movie,I am coding a project,0.5
It is humid today,I am scared,0.44
The computer is running,I am going to the gym,0.39
I am coding a project,The bed is comfortable,0.1
The computer is running,I love listening to music,0.57
The food tastes great,The food tastes great,0.98
I feel excited,I am tired,0.95
It is humid today,I am cooking dinner,0.33
I am studying for exams,I am scared,0.29
I am happy,I am sad,0.62
It is humid today,I am coding a project,0.21
It might snow today,I am coding a project,0.32
I am feeling great,The bed is comfortable,0.12
I am a bit upset,I am scared,0.54
I am sad,The bed is comfortable,0.28
The bed is comfortable,I am watching a movie,0.48
I am learning something new,I am a bit upset,0.39
I am scared,The computer is running,0.41
The weather is hot,The food tastes great,0.37
The weather is hot,It is cloudy today,0.61
I am reading a book,I am watching a movie,0.81
I am coding a project,The movie was boring,0.05
I feel nervous,I am learning something new,0.11
I am scared,I feel excited,0.5
I am going to the gym,The food tastes great,0.4
I am feeling great,The weather is hot,0.08
I am cleaning my room,I am scared,0.17
I love listening to music,It might snow today,0.36
I feel nervous,The weather is hot,0.26
The weather is cold,It is humid today,0.88
I am playing football,It is raining today,0.04
I am a bit upset,I feel excited,0.51
I am coding a project,I am watching a movie,0.68
I am going to the gym,It is cloudy today,0.32
The movie was boring,I am coding a project,0.13
The bed is comfortable,The computer is running,0.87
The food tastes great,I am cooking dinner,0.44
I feel excited,I am scared,0.54
It is sunny today,The weather is cold,0.78
It is humid today,The weather is hot,1.0
The food tastes great,I am reading a book,0.44
I am tired,It is windy today,0.38
I am cooking dinner,I am learning something new,0.03
The computer is running,I love listening to music,0.87
I feel excited,The computer is running,0.05
I love listening to music,I am learning something new,0.68
I am cleaning my room,I am reading a book,0.86
I am reading a book,The weather is hot,0.27
I am cleaning my room,I am going to the gym,0.66
It is windy today,I am watching a movie,0.24
The weather is cold,It is raining today,0.91
I love listening to music,I am studying for exams,0.39
It is windy today,I am reading a book,0.35
The computer is running,The food tastes great,0.76
I am learning something new,I am learning something new,0.64
The food tastes great,The movie was boring,0.98
I am happy,I am sad,0.89
I am scared,I am tired,0.53
I feel nervous,I am happy,0.89
I am reading a book,I am sad,0.21
I love listening to music,I am playing football,0.33
The food tastes great,I am feeling great,0.27
I am coding a project,I am playing football,0.68
I am tired,I am playing football,0.04
It is windy today,The food tastes great,0.23
The food tastes great,The bed is comfortable,0.65
I am going to the gym,I am learning something new,0.13
It might snow today,I feel excited,0.03
I am sad,The bed is comfortable,0.28
The movie was boring,The food tastes great,0.69
I feel excited,I feel excited,0.87
I am a bit upset,It is sunny today,0.1
I am going to the gym,The weather is cold,0.09
The computer is running,It might snow today,0.04
I am sad,I am scared,0.97
I am tired,I feel nervous,0.8
I love listening to music,I feel excited,0.25
I feel nervous,I am sad,0.75
I am studying for exams,I am happy,0.33
I feel nervous,I love listening to music,0.11
The weather is cold,The movie was boring,0.01
I am studying for exams,I am learning something new,0.26
I am reading a book,The weather is cold,0.49
I love listening to music,I love listening to music,0.91
I am reading a book,It is humid today,0.4
I am going to the gym,I am tired,0.11
The movie was boring,It is raining today,0.29
I am a bit upset,I feel nervous,0.68
I am going to the gym,The food tastes great,0.36
It is raining today,I am studying for exams,0.02
The weather is cold,It is humid today,0.87
I feel excited,The movie was boring,0.13
I am learning something new,I love listening to music,0.8
It is windy today,The weather is hot,0.72
I am cleaning my room,The food tastes great,0.36
The food tastes great,The food tastes great,0.87
I am learning something new,The bed is comfortable,0.93
The food tastes great,The movie was boring,0.84
I feel nervous,I am happy,0.73
I am sad,I am watching a movie,0.37
It is sunny today,The weather is hot,0.59
The movie was boring,I love listening to music,0.95
I am watching a movie,I love listening to music,0.21
I am watching a movie,I am studying for exams,0.51
I am playing football,I am watching a movie,0.71
It is windy today,I am sad,0.01
It is windy today,It is raining today,0.86
The movie was boring,I am tired,0.38
It is raining today,The weather is cold,0.52
It is sunny today,The weather is cold,0.91
I am cleaning my room,I am cooking dinner,0.97
I feel nervous,I am a bit upset,0.72
I am going to the gym,I feel nervous,0.19
It is cloudy today,I feel excited,0.41
I am cooking dinner,It might snow today,0.33
I am reading a book,I feel nervous,0.2
The food tastes great,I love listening to music,0.98
I am cleaning my room,It is humid today,0.36
I am cleaning my room,I am watching a movie,0.64
I am a bit upset,I am watching a movie,0.37
The movie was boring,It is sunny today,0.42
I am tired,I am scared,0.81
I am reading a book,I am cleaning my room,0.57
The bed is comfortable,I love listening to music,0.93
I love listening to music,The computer is running,0.58
I am learning something new,I love listening to music,0.62
I am a bit upset,The bed is comfortable,0.07
I am scared,I am happy,1.0
I love listening to music,I am sad,0.28
I am cooking dinner,I am cooking dinner,0.61
The bed is comfortable,The computer is running,0.77
I am learning something new,I am learning something new,0.92
I am cooking dinner,The weather is hot,0.39
The weather is hot,I am learning something new,0.28
The weather is hot,It is cloudy today,0.95
The computer is running,The movie was boring,0.72
I am a bit upset,I am a bit upset,0.86
The computer is running,The food tastes great,0.61
I am coding a project,It is windy today,0.48
I am playing football,I am watching a movie,1.0
The computer is running,I am learning something new,0.73
The weather is cold,The food tastes great,0.47
The weather is cold,I feel nervous,0.16
The food tastes great,I am studying for exams,0.06
I am reading a book,I am tired,0.02
I am playing football,I am studying for exams,0.66
It is cloudy today,I am playing football,0.45
It is humid today,It is cloudy today,0.87
I love listening to music,I am watching a movie,0.3
The bed is comfortable,The food tastes great,0.62
I am cooking dinner,I am going to the gym,0.87
I am reading a book,The bed is comfortable,0.43
It is humid today,The weather is hot,0.96
I am cooking dinner,The movie was boring,0.05
It might snow today,It is sunny today,0.63
I am going to the gym,I am tired,0.02
The food tastes great,I am coding a project,0.38
It is windy today,It might snow today,0.96
I am sad,I am studying for exams,0.03
The bed is comfortable,It might snow today,0.47
I am scared,I am cooking dinner,0.24
The food tastes great,I am learning something new,0.67
I am happy,I am a bit upset,0.57
I am cooking dinner,I am playing football,0.52
I am happy,I am going to the gym,0.09
I am a bit upset,I am a bit upset,0.88
The bed is comfortable,I love listening to music,0.93
I am cleaning my room,I am cleaning my room,0.73
I feel nervous,I feel nervous,0.78
I am tired,I am scared,0.51
I am reading a book,The weather is cold,0.34
It is sunny today,I am going to the gym,0.04
I am feeling great,I am sad,0.78
I am a bit upset,The bed is comfortable,0.22
The food tastes great,I am a bit upset,0.07
I am cleaning my room,I am scared,0.38
I am a bit upset,I am coding a project,0.23
I am happy,I am cooking dinner,0.29
The movie was boring,The food tastes great,0.98
I feel excited,I am happy,0.95
I love listening to music,I am coding a project,0.5
I am coding a project,I am reading a book,0.64
It might snow today,The weather is hot,0.9
The bed is comfortable,I am feeling great,0.14
I am a bit upset,The bed is comfortable,0.07
I am cooking dinner,I am reading a book,0.95
It is windy today,The weather is cold,0.9
I am happy,I feel nervous,0.68
I am watching a movie,I am learning something new,0.32
It is humid today,It is sunny today,0.91
It is windy today,It might snow today,0.84
I am cooking dinner,I am watching a movie,0.98
The bed is comfortable,I love listening to music,0.52
I love listening to music,I am learning something new,0.82
I am learning something new,The food tastes great,0.74
I am watching a movie,I am studying for exams,0.78
I am reading a book,I am cleaning my room,0.6
I am learning something new,The movie was boring,0.92
I am cleaning my room,I feel excited,0.46
I am watching a movie,The bed is comfortable,0.23
I feel excited,I am sad,0.72
The computer is running,I feel nervous,0.07
I am happy,The food tastes great,0.27
I am reading a book,It is cloudy today,0.11
It is windy today,The weather is hot,0.56
It is humid today,The food tastes great,0.47
I am learning something new,The food tastes great,0.72
I am scared,I feel nervous,0.6
I am learning something new,I am cleaning my room,0.1
I am going to the gym,I am studying for exams,0.53
It is humid today,I feel nervous,0.15
I am studying for exams,I am playing football,0.89
The computer is running,The movie was boring,0.82
I am a bit upset,I feel excited,0.55
I am feeling great,I am scared,0.72
I am going to the gym,The bed is comfortable,0.42
I am learning something new,I love listening to music,0.51
I am cleaning my room,I am playing football,0.57
I am going to the gym,I am a bit upset,0.46
The computer is running,The food tastes great,0.89
The weather is hot,The weather is hot,0.79
The movie was boring,I am learning something new,0.73
I am reading a book,I am going to the gym,0.99
I am sad,I am feeling great,0.6
The movie was boring,The weather is cold,0.08
It is raining today,The bed is comfortable,0.41
I am feeling great,The movie was boring,0.03
I am playing football,The weather is hot,0.38
I am feeling great,I am a bit upset,0.54
I feel excited,It is raining today,0.13
It is raining today,It is humid today,0.57
It is raining today,It is cloudy today,0.61
I am coding a project,I am watching a movie,0.59
I am studying for exams,It might snow today,0.25
I am going to the gym,I am scared,0.25
The computer is running,The food tastes great,0.76
I am a bit upset,I am feeling great,0.83
It is humid today,I love listening to music,0.5
I am happy,I am scared,0.54
I am tired,The movie was boring,0.0
The food tastes great,The computer is running,0.63
I am cleaning my room,I am feeling great,0.37
The bed is comfortable,I am learning something new,0.72
The movie was boring,I am reading a book,0.46
It is cloudy today,The computer is running,0.1
I am cooking dinner,I am coding a project,0.71
The movie was boring,The movie was boring,0.8
I am reading a book,I am watching a movie,0.99
It might snow today,It is humid today,0.58
I am coding a project,I am scared,0.18
It is raining today,I am scared,0.08
It is windy today,I am learning something new,0.38
I am watching a movie,The weather is cold,0.07
I am tired,I am feeling great,0.53
The computer is running,It is sunny today,0.33
I love listening to music,I am coding a project,0.48
I am reading a book,It might snow today,0.48
I am studying for exams,I am playing football,0.71
The movie was boring,The food tastes great,0.91
I am reading a book,I am reading a book,0.81
I am studying for exams,I am coding a project,0.61
It is humid today,It is raining today,0.53
I am feeling great,It is cloudy today,0.09
I love listening to music,The computer is running,0.56
I am scared,It is humid today,0.19
It is windy today,It is raining today,0.56
I am reading a book,The bed is comfortable,0.12
